#TYPE;Selected.System.Management.ManagementObject;;
date;user;productname;
21.9.2017;14:38:06;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office Access 2007 (KB2596614)
21.9.2017;14:37:53;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2881067)
21.9.2017;14:37:25;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2825645)
21.9.2017;14:36:27;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office Visio Viewer 2007 (KB2596915)
21.9.2017;14:36:03;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2596904)
21.9.2017;14:35:52;NT AUTHORITY\SYSTEM;Aktualizace pro: Microsoft Office 2007 suites (KB2596620)
21.9.2017;14:35:40;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2596650)
21.9.2017;14:35:25;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office Compatibility Pack Service Pack 3 (KB3203438)
21.9.2017;14:35:14;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB3085549)
21.9.2017;14:35:01;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2984943)
21.9.2017;14:34:45;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office Word 2007 (KB3203441)
21.9.2017;14:34:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2956110)
21.9.2017;14:34:14;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office Excel 2007 (KB4011062)
21.9.2017;14:33:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office InfoPath 2007 (KB3114426)
21.9.2017;14:33:01;NT AUTHORITY\SYSTEM;Update for Microsoft Security Essentials - 4.10.209.0 (KB3205972)
21.9.2017;14:31:27;NT AUTHORITY\SYSTEM;Aktualizace pro: Microsoft Office 2007 suites (KB2965286)
21.9.2017;14:31:14;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB3213646)
21.9.2017;14:31:10;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2984938)
21.9.2017;14:30:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2880508)
21.9.2017;14:30:34;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB3213649)
21.9.2017;14:30:12;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2986253)
21.9.2017;14:29:55;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2850022)
21.9.2017;14:29:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office PowerPoint 2007 (KB3213642)
21.9.2017;14:29:16;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office PowerPoint 2007 (KB2596912)
21.9.2017;14:29:05;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro: Microsoft Office 2007 suites (KB2596871)
