#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\6e212a6734ef98c0522784e0f010b0","Microsoft.PowerShell.Core\FileSystem::C:\","6e212a6734ef98c0522784e0f010b0","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","6e212a6734ef98c0522784e0f010b0","System.Collections.Generic.List`1[System.String]",,"6e212a6734ef98c0522784e0f010b0","C:\6e212a6734ef98c0522784e0f010b0","","True","C:\","","16.07.2017 9:31:59","16.07.2017 7:31:59","16.07.2017 9:33:05","16.07.2017 7:33:05","16.07.2017 9:33:05","16.07.2017 7:33:05","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\AppData","Microsoft.PowerShell.Core\FileSystem::C:\","AppData","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","AppData","System.Collections.Generic.List`1[System.String]",,"AppData","C:\AppData","","True","C:\","","05.05.2017 3:47:57","05.05.2017 1:47:57","05.05.2017 3:47:57","05.05.2017 1:47:57","05.05.2017 3:47:57","05.05.2017 1:47:57","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\assembly","Microsoft.PowerShell.Core\FileSystem::C:\","assembly","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","assembly","System.Collections.Generic.List`1[System.String]",,"assembly","C:\assembly","","True","C:\","","08.05.2017 11:29:15","08.05.2017 9:29:15","08.05.2017 11:30:08","08.05.2017 9:30:08","08.05.2017 11:29:15","08.05.2017 9:29:15","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\AVG_Remover","Microsoft.PowerShell.Core\FileSystem::C:\","AVG_Remover","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","AVG_Remover","System.Collections.Generic.List`1[System.String]",,"AVG_Remover","C:\AVG_Remover","","True","C:\","","14.06.2017 9:03:21","14.06.2017 7:03:21","14.06.2017 9:05:00","14.06.2017 7:05:00","14.06.2017 9:05:00","14.06.2017 7:05:00","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\CocosCreator","Microsoft.PowerShell.Core\FileSystem::C:\","CocosCreator","C","Microsoft.PowerShell.Core\FileSystem","True","da----","CocosCreator","System.Collections.Generic.List`1[System.String]",,"CocosCreator","C:\CocosCreator","","True","C:\","","25.04.2017 19:24:06","25.04.2017 17:24:06","13.07.2017 12:31:59","13.07.2017 10:31:59","13.07.2017 12:31:59","13.07.2017 10:31:59","Directory, Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Data","Microsoft.PowerShell.Core\FileSystem::C:\","Data","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Data","System.Collections.Generic.List`1[System.String]",,"Data","C:\Data","","True","C:\","","25.06.2017 2:23:42","25.06.2017 0:23:42","25.06.2017 2:23:42","25.06.2017 0:23:42","25.06.2017 2:23:42","25.06.2017 0:23:42","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Dell","Microsoft.PowerShell.Core\FileSystem::C:\","Dell","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Dell","System.Collections.Generic.List`1[System.String]",,"Dell","C:\Dell","","True","C:\","","18.07.2017 8:06:22","18.07.2017 6:06:22","18.07.2017 8:06:22","18.07.2017 6:06:22","18.07.2017 8:06:22","18.07.2017 6:06:22","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Disk2vhd","Microsoft.PowerShell.Core\FileSystem::C:\","Disk2vhd","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Disk2vhd","System.Collections.Generic.List`1[System.String]",,"Disk2vhd","C:\Disk2vhd","","True","C:\","","26.07.2017 18:08:33","26.07.2017 16:08:33","26.07.2017 18:08:40","26.07.2017 16:08:40","26.07.2017 18:08:40","26.07.2017 16:08:40","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Downloads","Microsoft.PowerShell.Core\FileSystem::C:\","Downloads","C","Microsoft.PowerShell.Core\FileSystem","True","d---s-","Downloads","System.Collections.Generic.List`1[System.String]",,"Downloads","C:\Downloads","","True","C:\","","05.05.2017 14:27:56","05.05.2017 12:27:56","05.05.2017 14:27:56","05.05.2017 12:27:56","05.05.2017 14:27:56","05.05.2017 12:27:56","System, Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\ESD","Microsoft.PowerShell.Core\FileSystem::C:\","ESD","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","ESD","System.Collections.Generic.List`1[System.String]",,"ESD","C:\ESD","","True","C:\","","06.06.2017 10:29:21","06.06.2017 8:29:21","18.08.2017 8:58:04","18.08.2017 6:58:04","18.08.2017 9:27:54","18.08.2017 7:27:54","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GoogleChromePortable","Microsoft.PowerShell.Core\FileSystem::C:\","GoogleChromePortable","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","GoogleChromePortable","System.Collections.Generic.List`1[System.String]",,"GoogleChromePortable","C:\GoogleChromePortable","","True","C:\","","27.04.2017 11:05:55","27.04.2017 9:05:55","24.05.2017 9:59:34","24.05.2017 7:59:34","24.05.2017 9:59:34","24.05.2017 7:59:34","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Intel","Microsoft.PowerShell.Core\FileSystem::C:\","Intel","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Intel","System.Collections.Generic.List`1[System.String]",,"Intel","C:\Intel","","True","C:\","","25.04.2017 10:56:41","25.04.2017 8:56:41","19.06.2017 11:38:56","19.06.2017 9:38:56","19.06.2017 11:38:56","19.06.2017 9:38:56","Directory"
