#TYPE Selected.Microsoft.Windows.Appx.PackageManager.Commands.AppxPackage
"Name","Version","Publisher"
"Microsoft.Windows.CloudExperienceHost","10.0.16251.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.AAD.BrokerPlugin","1000.16251.1000.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.ShellExperienceHost","10.0.16251.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"windows.immersivecontrolpanel","10.0.1.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.Cortana","1.9.6.16251","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.MicrosoftEdge","41.16251.1000.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.ContentDeliveryManager","10.0.16251.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Framework.1.3","1.3.24201.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Framework.1.3","1.3.24201.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Runtime.1.4","1.4.24201.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Runtime.1.4","1.4.24201.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Framework.1.6","1.6.24903.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Framework.1.6","1.6.24903.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
